STATION,STATION_NAME,DATE,PRCP,SNWD,SNOW,TAVG,TMAX,TMIN,AWND,WT01,WT06,WT02,WT04,WT08
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160530,1.65,0.0,0.0,-9999,82,68,3.1,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160531,0.00,0.0,0.0,-9999,85,71,3.1,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160601,0.00,0.0,0.0,-9999,83,66,6.0,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160602,0.00,0.0,0.0,-9999,78,62,4.7,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160603,0.04,0.0,0.0,-9999,70,63,1.3,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160604,0.40,0.0,0.0,-9999,83,66,2.5,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160605,0.91,0.0,0.0,-9999,71,65,3.4,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160606,0.00,0.0,0.0,-9999,83,65,5.6,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160607,0.00,0.0,0.0,-9999,85,64,5.1,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160608,0.45,0.0,0.0,-9999,67,52,7.6,1,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160609,0.00,0.0,0.0,-9999,71,54,8.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160610,0.00,0.0,0.0,-9999,77,57,5.4,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160611,0.00,0.0,0.0,-9999,88,59,3.4,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160612,0.00,0.0,0.0,-9999,83,62,8.1,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160613,0.00,0.0,0.0,-9999,74,57,7.4,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160614,0.00,0.0,0.0,-9999,79,58,4.3,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160615,0.00,0.0,0.0,-9999,85,62,2.5,-9999,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160616,0.22,0.0,0.0,-9999,74,65,1.8,1,-9999,-9999,-9999,1
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160617,0.00,0.0,0.0,-9999,78,63,4.7,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160618,0.00,0.0,0.0,-9999,87,61,2.7,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160619,0.00,0.0,0.0,-9999,88,66,2.9,-9999,-9999,-9999,-9999,-9999
GHCND:USW00094728,NY CITY CENTRAL PARK NY US,20160620,0.00,0.0,0.0,-9999,84,64,3.1,-9999,-9999,-9999,-9999,-9999
